IMO number,Name of ship,Gross tonnage,Year of build,Flag,MMSI
9930210,ATLANTIC NARVAL,19913,2023,Singapore (SGP),563186800
9930222,BALTIC NARVAL,19913,2023,Singapore (SGP),563195800
1015480,DA AN 78,4352,2023,China Peoples's Republic (CHN),413387320
1017995,NING YUAN BAI HE,4027,2023,China Peoples's Republic (CHN),413512480
1015557,NING YUAN CHUN XIAO,4027,2023,China Peoples's Republic (CHN),413398830
9970129,SERNA,4723,2023,Panama (PAN),271042504
9973353,WHITE ALLEGRA,14402,2023,Marshall Islands (MHL),538010705
9918133,BITU RIVER,13220,2022,Panama (PAN),352001163
9978418,DA AN 68,4345,2022,China Peoples's Republic (CHN),413335940
9669263,OCEAN BERYL,4178,2021,"Hong Kong, China (HKG)",477665500
9917957,WHITE PEARL,26192,2021,Marshall Islands (MHL),538009544
9875707,ATSUTA MARU,749,2020,Japan (JPN),431014666
9907299,EIHO,749,2020,Japan (JPN),431015954
9896000,NING YUAN XING GUANG,3641,2019,China Peoples's Republic (CHN),413216050
9830305,T. ADALYN,12539,2019,Turkey (TUR),271046486
9794159,ASPHALT SYNERGY,26118,2018,Marshall Islands (MHL),538007666
9812133,BAUSTELLA,7293,2018,"Hong Kong, China (HKG)",477103600
9786645,BIT HERO,7447,2018,Netherlands (NLD),244150081
9803120,DA TAI SHAN,7197,2018,"Hong Kong, China (HKG)",477151700
9856995,HUA HANG HE CHANG,5408,2018,China Peoples's Republic (CHN),413593850
9812121,JASTELLA,7293,2018,"Hong Kong, China (HKG)",477103400
9814404,KANG HUA WAN,7414,2018,China Peoples's Republic (CHN),413527910
9832121,LOTSTELLA,6999,2018,"Hong Kong, China (HKG)",477191100
9824863,LT AMBER,4175,2018,Singapore (SGP),563037700
9824875,LT BERYL,4175,2018,Singapore (SGP),563037800
9814399,RONG HUA WAN,7414,2018,China Peoples's Republic (CHN),413527660
9814416,SHENG HUA WAN,7414,2018,China Peoples's Republic (CHN),413527980
9815458,STAR RIVER,26141,2018,Marshall Islands (MHL),538007747
9814387,TAI HUA WAN,7414,2018,China Peoples's Republic (CHN),413527080
9799111,WHITE HORSE,7538,2018,Marshall Islands (MHL),538007746
9799666,ASPIRE,3605,2017,Singapore (SGP),563006700
9798428,ATLANTIC ASPHALT,14485,2017,Marshall Islands (MHL),538007471
9786633,BIT ECO,7447,2017,Netherlands (NLD),244110414
9753844,BITFJORD,4703,2017,Netherlands (NLD),244090224
9801419,BITUMEN HIKARI,3853,2017,Singapore (SGP),563165300
9817298,CUMHURIYET,5311,2017,Turkey (TUR),271050337
9779757,DA HUA SHAN,10748,2017,"Hong Kong, China (HKG)",477858500
9803118,DA WEI SHAN,7197,2017,"Hong Kong, China (HKG)",477096700
9766437,DAMIA DESGAGNES,11978,2017,Canada (CAN),316031773
9796559,FS BITUMEN NO. 2,7634,2017,Panama (PAN),371135000
9806756,GLOBAL LADY,4264,2017,Panama (PAN),353757000
9802578,GUANG ZHOU WAN,11081,2017,China Peoples's Republic (CHN),413526060
9802580,JIN ZHOU WAN,11081,2017,China Peoples's Republic (CHN),413526050
9811074,KAN WO,6194,2017,"Hong Kong, China (HKG)",477142800
9806689,LEO ASPHALT II,4275,2017,Panama (PAN),357134000
9826885,LG ASPHALT 2,5051,2017,Malaysia (MYS),533130658
9816024,NEW HORIZON,3983,2017,Singapore (SGP),563039300
9794783,ORCSTELLA,7293,2017,"Hong Kong, China (HKG)",477811900
9748007,PALANCA CADIZ,10830,2017,Marshall Islands (MHL),538007108
9757254,PALANCA MIAMI,28164,2017,Marshall Islands (MHL),538007136
9803235,POESTELLA,7293,2017,Singapore (SGP),563008900
9803247,ROSTELLA,7293,2017,Singapore (SGP),563017700
9806691,RYOEI MARU NO. 11,749,2017,Japan (JPN),431009835
9796597,SIDRA QATAR,3138,2017,Liberia (LBR),636017026
9811098,TAIHAI 3,6998,2017,"Hong Kong, China (HKG)",477112500
9808522,TASCO TARA,10326,2017,Singapore (SGP),563037600
9799109,WHITE STAR,7538,2017,Marshall Islands (MHL),538007389
9799446,3B DESTINY,6998,2017,Malta (MLT),477035600
9764520,AMBER BAY,10377,2016,"Hong Kong, China (HKG)",477900100
9753832,BITUMA,4703,2016,Netherlands (NLD),244994000
9779745,DA MING SHAN,10748,2016,"Hong Kong, China (HKG)",477669700
9796028,JS JIANGYIN,5060,2016,Korea (Republic of) (KOR),440007000
9798600,KOWA MARU NO. 3,749,2016,Japan (JPN),431008542
9794771,LILSTELLA,7293,2016,"Hong Kong, China (HKG)",477809900
9747998,PALANCA RIO,10830,2016,Marshall Islands (MHL),538006907
9753818,SAN BACCO,4703,2016,Malta (MLT),256831000
9753820,SAN BIAGIO,4703,2016,Malta (MLT),256837000
9787443,SIDRA AL GHARIYA,2512,2016,Liberia (LBR),636017025
9755725,THE JUDGE,28013,2016,Marshall Islands (MHL),538007137
9763332,ASPHALT SPLENDOR,26119,2015,Marshall Islands (MHL),538006655
9553957,COURAGE 7,3811,2015,Gabon (GAB),626046000
9768514,IVER AMBASSADOR,7009,2015,Marshall Islands (MHL),538006821
9751121,KAKUSHO 3,3604,2015,Panama (PAN),374110000
9739599,SEITOKU MARU,749,2015,Japan (JPN),431006388
9679880,T. AYLIN,15674,2015,Turkey (TUR),271044068
9711585,ANGEL BLUE,1637,2014,Panama (PAN),373395000
9692428,FS BITUMEN NO. 1,4620,2014,Panama (PAN),416737000
9677882,HUA HANG HE SHUN,5392,2014,China Peoples's Republic (CHN),413825408
9726839,JAYA OCEAN,4275,2014,Singapore (SGP),565390000
9553945,PUSAKA GEMILANG,3811,2014,Malaysia (MYS),511100358
9679878,T. ESRA,15674,2014,Turkey (TUR),271043916
9689809,TASCO NIRAND,4225,2014,Thailand (THA),567502000
9659672,THE DIPLOMAT,23009,2014,Marshall Islands (MHL),538005203
9709283,YUYO MARU,746,2014,Japan (JPN),431005234
9635377,BLUEBIRD ARROW,15607,2013,Bahamas (BHS),311075800
9661857,CASTILLO DE PAMBRE,6388,2013,Malta (MLT),229412000
9673692,GREAT CRANE,1062,2013,Japan (JPN),432915000
9635389,KINGBIRD ARROW,15607,2013,Bahamas (BHS),311075900
8682397,LE YANG 1,2998,2013,China Peoples's Republic (CHN),413451630
9687631,REEM 1,4275,2013,Panama (PAN),357667000
9682083,RYOUMEI MARU,1061,2013,Japan (JPN),432941000
9659660,THE BLACKSMITH,23009,2013,Marshall Islands (MHL),538005111
9492361,THE CHIEF,10866,2013,Marshall Islands (MHL),538005036
9492323,THE PROSPECTOR,10830,2013,Marshall Islands (MHL),538005016
9492311,THE SHERIFF,10866,2013,Marshall Islands (MHL),538004792
9616395,VP ASPHALT 2,3118,2013,Vietnam (VNM),574001760
9612557,ASPHALT SPIRIT,10491,2012,Marshall Islands (MHL),538004558
9503914,BITLAND,4657,2012,Netherlands (NLD),244784000
9503902,BITONIA,4657,2012,Netherlands (NLD),246354000
9652301,BLACK DRAGON,2106,2012,Panama (PAN),373901000
9634828,BLUE KINGDOM,1984,2012,Panama (PAN),373706000
9572862,ERICA 10,4124,2012,Indonesia (IDN),525003391
8695100,FU JIE 1,2995,2012,China Peoples's Republic (CHN),413447070
8678748,GUO HONG 11,2995,2012,China Peoples's Republic (CHN),413447620
9523897,GUO HONG 5,4133,2012,China Peoples's Republic (CHN),413439970
9554822,IANTHE,5680,2012,Panama (PAN),441839000
9616759,IVER BRIGHT,6105,2012,Netherlands (NLD),244283000
9616761,IVER BRILLIANT,6105,2012,Netherlands (NLD),244308000
9657519,JS ONSAN,4091,2012,Korea (Republic of) (KOR),441968000
9652636,KOWA MARU NO. 8,749,2012,Japan (JPN),431004009
8687608,MING SHENG YOU 2,2997,2012,Not Known,511288000
9588976,SIDRA AL WAKRA,2512,2012,Liberia (LBR),636016075
9615999,TASCO AMARIT,6106,2012,Thailand (THA),567463000
9492309,THE AMIGO,10866,2012,Marshall Islands (MHL),538004791
9616383,VP ASPHALT 1,3125,2012,Vietnam (VNM),574001620
9650339,ZHUANG YUAN AO,9963,2012,"Hong Kong, China (HKG)",477938700
9468530,ACACIA RUBRA,5539,2011,Malta (MLT),249374000
9588251,IVER BALANCE,5948,2011,Italy (ITA),247296800
9588263,IVER BEAUTY,5948,2011,Gibraltar (GIB),236594000
9588275,IVER BEST,5948,2011,Gibraltar (GIB),236111758
9588287,IVER BLESSING,5948,2011,Gibraltar (GIB),236623000
9571052,KAILASH,4126,2011,Panama (PAN),352001172
9600803,R S G,4126,2011,Barbados (BRB),477721500
9571064,RUDRA,4126,2011,Palau (Republic of) (PLW),441937000
9608752,SAN DU AO,9963,2011,"Hong Kong, China (HKG)",477229900
8776394,SMOOTH SEA 21,966,2011,Thailand (THA),567002160
9578323,ANJANEYA,4476,2010,Gabon (GAB),518100967
9293545,ASPHALT CARRIER,6292,2010,Marshall Islands (MHL),538003932
9480655,BLACK SHARK,6026,2010,Italy (ITA),247288900
8748268,CHANG HONG 6,4105,2010,China Peoples's Republic (CHN),412331040
9571674,FANG CHENG GANG,5493,2010,"Hong Kong, China (HKG)",477963300
9468528,FUJI LAVA,5539,2010,Malta (MLT),215712000
9561112,HANYU EMPIRE,4387,2010,Korea (Republic of) (KOR),441652000
9507972,IVER ACCORD,4999,2010,Portugal (MAR) (PMD),236630000
9507984,IVER ACTION,4999,2010,Portugal (MAR) (PMD),236629000
9531765,IZABEL,5832,2010,Gabon (GAB),271048485
9578385,NING HAI WAN,5565,2010,Panama (PAN),371078000
9566215,SUZUKA MARU,748,2010,Japan (JPN),431001206
9554834,XANTE,5637,2010,Panama (PAN),352001745
9520431,AGRASEN,2512,2009,Gabon (GAB),511101467
9563108,AN HAI WAN,5565,2009,Panama (PAN),356502000
9568380,ASUZAN MARU,747,2009,Japan (JPN),431016755
9505003,BD 51,5493,2009,Panama (PAN),374698000
9546162,BLACK SUNRISE,3726,2009,Malta (MLT),248180000
9463009,CHANDRAMA,3691,2009,Cook islands (COK),518998382
9564815,DA HENG SHAN,5493,2009,"Hong Kong, China (HKG)",477547800
9567685,DA KUN SHAN,5493,2009,"Hong Kong, China (HKG)",477455600
9439163,IVER AMBITION,6296,2009,Portugal (MAR) (PMD),247276200
9438949,IVER BITUMEN,5836,2009,Italy (ITA),247318400
9540900,LG ASPHALT 1,1642,2009,Malaysia (MYS),533130955
9546150,MY WORRY,3726,2009,Marshall Islands (MHL),249705000
9513361,NATHAN,2512,2009,Cook islands (COK),214182774
9528718,OCEAN WORLD,4387,2009,Panama (PAN),355616000
9558579,PING HAI WAN,5565,2009,Panama (PAN),356503000
9483774,SAAGAR,4126,2009,Cook islands (COK),356002000
9553098,TAIRA MARU,748,2009,Japan (JPN),431001045
9523782,TASCO SAKORN,3609,2009,Singapore (SGP),564018000
9505687,UNITAR,2996,2009,Norway (NIS) (NIS),257364000
9570113,XING HAI WAN,5565,2009,Panama (PAN),371737000
9405617,AARVI,2063,2008,Gabon (GAB),626192000
9293533,ASPHALT TRANSPORTER,6292,2008,Cyprus (CYP),212442000
9382085,BITU ATLANTIC,28508,2008,Panama (PAN),351084000
9509334,BITUMAX,3691,2008,Panama (PAN),412753860
9440289,BITUMEN PRINCESS 2,3757,2008,Palau (Republic of) (PLW),511100342
9485019,BLUE HAWK,3686,2008,Tanzania (TZA),677034500
9441219,CHENG X,4474,2008,San Marino (SMR),613003720
9459577,JANE ASPHALT,5076,2008,Panama (PAN),370151000
9459319,K R A,3686,2008,Gabon (GAB),477926900
9459682,NEW GRACE,5085,2008,Singapore (SGP),565974000
9469314,PENG HU WAN,5569,2008,China Peoples's Republic (CHN),413369000
9511179,PONTUS,4249,2008,Panama (PAN),564307000
9418963,RMS 1,3726,2008,Panama (PAN),352001413
9486283,SARVESHWAR,5363,2008,Cook islands (COK),518100960
9383352,SHARDA,5530,2008,Cook islands (COK),518100890
9462990,SIDRA MESSAIED,3691,2008,Liberia (LBR),636013811
9521643,SUNPOWER,3691,2008,Panama (PAN),355306000
9418951,TRANSKO BIMA,3633,2008,Indonesia (IDN),525104001
9406855,ZHEN ZHU WAN,5569,2008,China Peoples's Republic (CHN),413368000
9394739,ASPHALT EXPRESS,6457,2007,Panama (PAN),371334000
9411446,BITUMEN SHOURI,3609,2007,Singapore (SGP),565439000
9481178,BLUE MAJESTY,2684,2007,Cook islands (COK),636013478
9460344,COSMIC 10,2996,2007,Indonesia (IDN),525011110
9460306,COSMIC 9,2027,2007,Indonesia (IDN),525011107
9451501,GLOBAL GENESIS,2641,2007,Cook islands (COK),518100860
